DCACCESS,DUNALIGNED,ETMEXTOUT1,L2MISS,DCALIAS,ETMEXTOUT01,REPLAY,AXIWRITE,IIDLE,BPEXECTAKEN,NEONWAITS,ICACCESS,ERETURN,L2STORE,ECALL,DTLBMISS,BPREDTAKEN,WBFULL,BPREDICTABLE,RSTKMISS,PCINST,AXIREAD,L2ACCESSNEON,NEONWORK,L2MERGE,BPMIS,DCACCESSNEON,CONTEXT,DREAD,ETMEXTOUT0,ICMISS,ICHASHMISS,UNALIGNEDREPLAY,SOFT,BINST,DWRITE,DCHASHMISS,L2HITNEON,RETURN,DCHITNEON,CLOCKCYCLES,ITLBMISS,BPCONDMIS,NEONSTALL,OPERATION,IISSUE,L2ACCESS,DCMISS,INST,usage,flags,wakeeFlips,wakeeFlipDecayTs,prio,rtPriority,se_load_weight,se_sumExecRuntime,se_vruntime,se_prevSumExecRuntime,se_statistics_waitStart,se_statistics_waitMax,se_statistics_waitCount,se_statistics_waitSum,se_statistics_iowaitCount,se_statistics_iowaitSum,se_statistics_sleepStart,se_statistics_sleepMax,se_statistics_sumSleepRuntime,se_statistics_blockStart,se_statistics_blockMax,se_statistics_execMax,se_statistics_sliceMax,se_statistics_nrMigrationsCold,se_statistics_nrFailedMigrationsAffine,se_statistics_nrFailedMigrationsRunning,se_statistics_nrFailedMigrationsHot,se_statistics_nrForcedMigrations,se_statistics_wakeups,se_statistics_wakeupsSync,se_statistics_wakeupsMigrate,se_statistics_wakeupsLocal,se_statistics_wakeupsRemote,se_statistics_wakeupsAffine,se_statistics_wakeupsAffineAttempts,se_statistics_wakeupsPassive,se_statistics_wakeupsIdle,rt_timeslice,dl_dlBw,dl_dlDensity,schedInfo_pcount,schedInfo_runDelay,utime,stime,nvcsw,nivcsw,minFlt,majFlt,ioac_rchar,ioac_wchar,ioac_syscr,ioac_syscw,acctRssMem1,acctVmMem1
9.558412000000000000e+06,4.971545454545454959e+03,1.257090909090909008e+03,2.462668181818181765e+05,4.136363636363636687e+01,0.000000000000000000e+00,5.847350000000000000e+05,1.717639090909090883e+05,2.917621136363636330e+07,2.268076727272727061e+06,1.922572727272727207e+04,1.315862536363636516e+07,1.117636363636363740e+03,2.796864545454544714e+05,7.310909090909091219e+02,2.805302727272727061e+05,1.897694363636363763e+06,7.325454545454545041e+02,4.113832636363636237e+06,2.579000000000000000e+03,2.283071636363635771e+06,5.971873636363636469e+05,8.906818181818181984e+03,6.124933636363636469e+05,1.071150000000000000e+05,5.962838181818182347e+05,1.229256363636363531e+05,1.445454545454545503e+01,5.662115636363637634e+06,0.000000000000000000e+00,3.929564545454545296e+05,1.695509090909090810e+04,1.200454545454545496e+03,0.000000000000000000e+00,3.464877454545454588e+06,2.162535181818181649e+06,6.676772727272727934e+04,1.515727272727272793e+04,4.625014545454545296e+05,1.063098181818181765e+05,0.000000000000000000e+00,4.294072727272727207e+04,1.448794545454545587e+05,2.129731818181818235e+05,1.362989245454545505e+07,1.274324036363636516e+07,1.505478454545454588e+06,2.011730909090909117e+05,1.123999036363636330e+07,2.335351089588378226e+00,5.597144706531625241e+07,8.364928443473296227e+00,1.757523156558200135e+05,9.146244020551587539e+01,1.758548396621980814e+01,1.608852713636095177e+04,3.456802208501121998e+09,1.508818458835455360e+17,8.533682127568848133e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.727214296541271324e+04,5.170990005228920937e+09,4.120696076694423556e+08,1.510171066359574080e+09,4.618934124687494477e+04,6.160878304691037556e+03,3.144567412744345347e+02,2.208409614362488060e+00,1.265857337742868694e+05,7.437196320793715131e+04,7.221252878993681179e+02,1.779655701883895915e+02,1.423509173246500731e+09,5.222876221395164490e+09
7.142354563636364043e+07,2.447436363636363603e+04,1.725400000000000000e+04,2.360561545454545412e+06,1.162090909090909008e+03,0.000000000000000000e+00,3.254686181818181649e+06,1.438544636363636237e+06,8.888859027272726595e+07,1.680936336363636330e+07,1.320879090909090883e+05,9.843443318181820214e+07,1.752454545454545587e+04,2.051034727272727527e+06,1.192827272727272793e+04,9.942294545454545878e+05,1.315261409090909176e+07,3.231727272727272521e+03,2.975117190909091011e+07,1.804636363636363967e+04,1.705451127272727340e+07,5.673912909090909176e+06,1.997654545454545587e+04,9.223964545454545878e+05,8.536706363636363531e+05,4.754441363636363298e+06,1.784912727272727352e+05,4.290000000000000000e+02,3.706133936363636702e+07,0.000000000000000000e+00,3.712791727272727061e+06,1.294848181818181765e+05,6.300545454545454959e+03,0.000000000000000000e+00,2.417833936363636330e+07,1.715269763636363670e+07,8.579799090909090592e+05,1.902527272727272793e+04,4.399312818181818351e+06,1.248467272727272648e+05,0.000000000000000000e+00,1.228609090909090883e+05,7.135550000000000000e+05,3.131721818181818235e+05,9.258180745454543829e+07,9.803413636363635957e+07,8.953528545454544947e+06,1.388063909090909176e+06,9.043207090909090638e+07,2.328944444444444262e+00,5.571215968722222000e+07,8.887944444444444869e+00,7.252698722222223296e+04,9.173305555555555202e+01,1.731944444444444287e+01,1.656739583333333212e+04,1.793816503490000010e+09,1.485989894092827840e+17,5.207816776592778563e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.360096050000000105e+04,4.791561435331554413e+09,2.550930686577778459e+08,7.084957777777777910e+08,2.288860305555556261e+04,2.515452999999999975e+03,3.241927222222222440e+02,2.183055555555555749e+00,9.291429372222220991e+04,6.547628405555554491e+04,3.719715555555556534e+02,9.146966666666668289e+01,1.113242944653944731e+09,3.944752353259667397e+09
8.619914645454545319e+07,3.516609090909091174e+04,2.513690909090908826e+04,3.004132818181818351e+06,1.268636363636363512e+03,0.000000000000000000e+00,3.625030454545455053e+06,1.868872090909090824e+06,1.090119134545454383e+08,1.951931172727272660e+07,2.031916363636363531e+05,1.241301169090909213e+08,2.496300000000000000e+04,2.930403454545454588e+06,1.711936363636363603e+04,1.019838000000000000e+06,1.447998036363636516e+07,7.739090909090909008e+03,3.434251736363636702e+07,2.047654545454545587e+04,1.950151790909091011e+07,6.929936454545454122e+06,5.620618181818181620e+04,1.860246545454545412e+06,1.244401636363636469e+06,6.083284727272727527e+06,3.456151818181818235e+05,6.587272727272727479e+02,4.200438881818182021e+07,0.000000000000000000e+00,5.333808727272728458e+06,3.317414545454544714e+05,8.162636363636363967e+03,0.000000000000000000e+00,2.775093409090908989e+07,2.081138172727272660e+07,1.294360272727272706e+06,2.676200000000000000e+04,5.538104818181818351e+06,2.592219090909090883e+05,0.000000000000000000e+00,1.364350909090909117e+05,7.945535454545454122e+05,4.127667272727272939e+05,1.099151073636363596e+08,1.231456050909090787e+08,1.136641881818181835e+07,1.533922272727272706e+06,1.138832917272727191e+08,2.333418529279168041e+00,5.603178739267102629e+07,8.883340126419163596e+00,1.751025046512468543e+05,9.142922492020139202e+01,1.760595196949468999e+01,1.610606096092636471e+04,3.355265954872719765e+09,1.510573587618801280e+17,6.998066550296232700e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.560441608683403319e+04,4.745644367445561409e+09,3.912599479982018471e+08,1.503120600683051825e+09,5.473630473298977449e+04,6.015788602880075814e+03,4.160400624253929891e+02,2.210980014773752167e+00,1.260449540535682463e+05,7.432256028290862741e+04,7.019081195608923736e+02,1.758383029354843927e+02,1.370247442811348438e+09,4.156231144840596676e+09
4.566027290909090638e+07,1.220100000000000000e+04,1.031554545454545405e+04,1.610726636363636237e+06,6.287272727272727479e+02,0.000000000000000000e+00,1.913823272727272706e+06,1.239974818181817885e+06,6.410012454545454681e+07,1.089522545454545692e+07,1.065053636363636324e+05,6.028851590909090638e+07,1.044690909090909008e+04,1.763594727272727294e+06,6.093545454545454959e+03,5.572206363636363531e+05,8.598985090909091756e+06,8.693481818181817653e+04,2.041068109090908989e+07,1.073890909090909008e+04,1.085645209090909176e+07,3.220475909090908710e+06,2.614953636363636469e+05,3.483836454545454588e+06,6.345966363636363531e+05,2.980406636363636237e+06,5.681586363636363531e+05,2.949090909090909349e+02,2.435442727272727340e+07,0.000000000000000000e+00,2.347994181818181649e+06,8.469281818181817653e+04,3.603272727272728389e+03,0.000000000000000000e+00,1.639666509090909176e+07,1.116069972727272660e+07,4.670429090909090592e+05,2.144584545454545296e+05,2.964250636363636237e+06,2.035759090909090883e+05,0.000000000000000000e+00,8.541300000000000000e+04,5.104517272727272939e+05,2.908824727272727061e+06,6.110603100000000000e+07,6.477401981818182021e+07,5.909862090909090824e+06,7.285607272727272939e+05,5.709664672727272660e+07,2.326240173488750340e+00,5.613085719013734907e+07,8.734254992319508304e+00,1.403317949760549709e+03,9.150344492635763061e+01,1.746012921297551301e+01,1.669365386961235708e+04,4.175375227854207158e+08,1.498058643553873920e+17,2.640796397844605744e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.533611423601699244e+03,3.884285616918947697e+09,1.540090358724134564e+08,1.498110599078340828e+08,3.296808812234570723e+03,4.974959790367759638e+02,3.091671862293303548e+02,2.200788379868076294e+00,7.773858293801393302e+04,7.118680230640643276e+04,1.234755240805999819e+02,3.824082858950032460e+01,9.172235376187089682e+08,3.121161310461417198e+09
9.656430363636363298e+06,5.261545454545454959e+03,1.139909090909090992e+03,2.255218181818181765e+05,3.400000000000000000e+01,0.000000000000000000e+00,5.685194545454545878e+05,1.549293636363636469e+05,2.857408518181818351e+07,2.421672545454545412e+06,2.127400000000000000e+04,1.407329245454545505e+07,1.119272727272727252e+03,2.643757272727272939e+05,7.701818181818181301e+02,2.930912727272727061e+05,1.932435636363636237e+06,6.795454545454545041e+02,4.187747454545455053e+06,2.604545454545454504e+03,2.287357090909090824e+06,5.270141818181817653e+05,8.781000000000000000e+03,6.107584545454545878e+05,1.072144545454545296e+05,6.394824545454545878e+05,1.222750000000000000e+05,1.400000000000000000e+01,5.907220909090909176e+06,0.000000000000000000e+00,3.981568181818181765e+05,2.009881818181818016e+04,1.173909090909090992e+03,0.000000000000000000e+00,3.515787727272727061e+06,2.361061454545454588e+06,5.669545454545454413e+04,1.493645454545454595e+04,4.282623636363636469e+05,1.077311818181818235e+05,0.000000000000000000e+00,4.271945454545454413e+04,1.452498181818181765e+05,1.327442727272727643e+05,1.345852472727272660e+07,1.273239772727272660e+07,1.512703454545454588e+06,2.094758181818181765e+05,1.192969081818181835e+07,2.333781899856716802e+00,5.607959825841303170e+07,8.488314680710994153e+00,1.183326765286759764e+05,9.153175463733880690e+01,1.744278356503891914e+01,1.667808695736359005e+04,2.507083426219387531e+09,1.496574269106119040e+17,6.586677090889517069e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.362044153467838623e+04,5.751581992620996475e+09,3.060559578670177460e+08,8.975125113085234165e+08,3.289191157108004700e+04,3.137158250396932999e+03,2.724210587460790407e+02,2.190489098865352702e+00,1.053793954323665093e+05,6.879133756728496519e+04,5.002072377338031970e+02,1.209378461061844234e+02,1.188095728165027618e+09,3.900437318370638847e+09
7.624382481818181276e+07,2.687954545454545587e+04,2.400263636363636397e+04,2.747362181818181649e+06,1.018818181818182097e+03,0.000000000000000000e+00,3.290715545454544947e+06,1.724896363636363763e+06,1.004094400909090936e+08,1.648574845454545505e+07,2.201597272727272648e+05,1.148272508181817979e+08,2.408490909090908826e+04,2.477587272727272939e+06,1.631390909090909190e+04,9.389222727272728225e+05,1.181181127272727340e+07,7.521909090909090992e+03,2.909738100000000000e+07,2.220127272727272793e+04,1.673290272727272660e+07,6.367806181818182580e+06,4.820681818181817653e+04,1.803565727272727527e+06,1.023756545454545412e+06,5.453906090909090824e+06,2.777585454545455286e+05,8.076363636363636260e+02,3.713449309090909362e+07,0.000000000000000000e+00,4.912065454545454122e+06,2.337511818181818235e+05,6.086363636363636033e+03,0.000000000000000000e+00,2.371322800000000000e+07,1.820147645454545319e+07,1.176451909090909176e+06,4.186154545454545587e+04,4.868807000000000000e+06,1.977252727272727352e+05,0.000000000000000000e+00,1.450264545454545587e+05,6.099983636363636469e+05,4.478770909090909408e+05,1.054197317272727191e+08,1.150874425454545617e+08,1.048292172727272660e+07,1.383241545454545412e+06,1.035118629090909064e+08,2.326240173488750340e+00,5.613090124927713722e+07,8.661222553537543334e+00,1.598966699421704106e+04,9.150344492635763061e+01,1.746012921297551301e+01,1.669365386961235708e+04,8.423070064901847839e+08,1.498059158610527680e+17,3.317149874038584232e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.592742816481431873e+03,4.495351353080690384e+09,1.785848016626005173e+08,2.464524187584711611e+08,9.339493132736964981e+03,7.823765473931509860e+02,3.280612067407607810e+02,2.192667389536460121e+00,7.358663814719436050e+04,6.252322447366041888e+04,1.872643670371374469e+02,5.563987530496069667e+01,9.639457702023695707e+08,3.257151554894946575e+09
9.354199454545456916e+06,5.187090909090909008e+03,1.274090909090909008e+03,2.588672727272727352e+05,6.563636363636364024e+01,0.000000000000000000e+00,6.030272727272727061e+05,1.583802727272727643e+05,2.803127109090908989e+07,2.455250727272727061e+06,2.083727272727272793e+04,1.365051700000000000e+07,1.172000000000000000e+03,2.925910909090908826e+05,7.895454545454545041e+02,2.938115454545455286e+05,2.043646181818181649e+06,8.776363636363636260e+02,4.406006727272728458e+06,6.927181818181818016e+03,2.446487909090909176e+06,5.261880000000000000e+05,2.175845454545454413e+04,6.178489090909090592e+05,1.145615454545454559e+05,6.437240000000000000e+05,5.438772727272726479e+04,1.654545454545454675e+01,5.994436454545454122e+06,0.000000000000000000e+00,3.953664545454545296e+05,2.213681818181818380e+04,1.266090909090909008e+03,0.000000000000000000e+00,3.945129181818181649e+06,2.467724636363635771e+06,7.271872727272727934e+04,1.526163636363636397e+04,4.929708181818181765e+05,1.042594545454545296e+05,0.000000000000000000e+00,4.356900000000000000e+04,1.620600909090909117e+05,2.153352727272727352e+05,1.295845127272727340e+07,1.313962054545454495e+07,1.572296454545454588e+06,2.064720909090909117e+05,1.252125190909090824e+07,2.331186410047890067e+00,5.606186676423457265e+07,8.581171139423512173e+00,1.670471654920032233e+04,9.154117610915334069e+01,1.743701093340562025e+01,1.667290628896719863e+04,7.585904888054116964e+08,1.496075060919412480e+17,3.150569576849431396e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.116865929249117471e+03,3.288386797676877022e+09,1.672440148188307583e+08,4.075405537182615399e+08,7.637198039215687459e+03,1.147397162645703474e+03,2.245733481521640726e+02,2.189764163730008040e+00,7.150583267859402986e+04,6.133963127550375066e+04,1.647699163278214485e+02,4.787713391162917276e+01,9.388466657850198746e+08,3.241554704171526432e+09
9.479581372727271914e+07,3.188327272727272793e+04,2.394018181818181620e+04,3.137771818181818351e+06,1.555727272727272748e+03,0.000000000000000000e+00,4.334998545454545878e+06,2.028890727272727527e+06,1.028600529090909064e+08,2.109452163636364043e+07,1.480752727272727643e+05,1.191081909090909213e+08,2.396218181818181620e+04,3.014595181818181649e+06,1.573300000000000000e+04,1.322362818181817885e+06,1.655758490909090824e+07,4.144000000000000000e+03,3.806811127272727340e+07,1.942154545454545587e+04,2.113545700000000000e+07,6.951970454545454122e+06,1.767027272727272793e+04,8.870451818181818817e+05,1.282158181818182115e+06,5.713235636363637634e+06,1.705018181818181765e+05,3.686363636363636260e+02,4.824800172727272660e+07,0.000000000000000000e+00,4.759948727272728458e+06,1.645951818181818235e+05,7.984818181818181984e+03,0.000000000000000000e+00,3.163860618181818351e+07,2.282192445454544947e+07,1.144854363636363531e+06,1.822127272727272793e+04,5.549672181818181649e+06,1.248733636363636469e+05,0.000000000000000000e+00,1.042844545454545296e+05,9.285736363636363531e+05,2.464808181818181765e+05,1.143376660909090787e+08,1.202453233636363596e+08,1.184079654545454495e+07,1.826449363636363763e+06,1.123167788181817979e+08,2.331168488900936975e+00,5.627053940002238750e+07,8.874735902753444705e+00,9.943267424816765924e+03,9.142675553043142145e+01,1.750711758608505164e+01,1.673582374897244517e+04,2.902634408241478801e+08,1.502089896351714560e+17,2.434118062477512360e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.012510848189262788e+03,3.009130265213653088e+09,1.466717833212487400e+08,1.171518639976315945e+08,1.814040032404254816e+03,7.741767210031140394e+02,3.286745149279223597e+02,2.353640813786832098e+00,6.663311793686791498e+04,5.998277828788215993e+04,1.108875280901765450e+02,3.805454186657615878e+01,8.993106718232060671e+08,3.076453782447244167e+09
1.673769963636363484e+07,5.838545454545454959e+03,1.513909090909090992e+03,4.929180909090909408e+05,3.990909090909090651e+01,0.000000000000000000e+00,9.435137272727271775e+05,3.237916363636363531e+05,3.387535163636363298e+07,4.097965909090908710e+06,7.737336363636361784e+04,2.179330436363636330e+07,1.607454545454545496e+03,5.579939090909090592e+05,1.046363636363636260e+03,4.491390000000000000e+05,3.185374727272727061e+06,6.108545454545454959e+03,6.846952272727272473e+06,1.615327272727272793e+04,3.969964454545455053e+06,1.048497181818181882e+06,4.164654545454545587e+04,1.057587090909090824e+06,2.546219090909090883e+05,1.193519545454545412e+06,1.825295454545454704e+05,1.809090909090908994e+01,9.421524363636363298e+06,0.000000000000000000e+00,7.533391818181818817e+05,3.017490909090908826e+04,1.317272727272727252e+03,0.000000000000000000e+00,5.749650000000000000e+06,4.179508181818181649e+06,9.386700000000000000e+04,2.162109090909090810e+04,8.468775454545454122e+05,5.413572727272726479e+04,0.000000000000000000e+00,1.343884545454545587e+05,2.288238181818181765e+05,5.130290909090909408e+05,2.164950636363636330e+07,2.090467536363636330e+07,2.708106000000000000e+06,3.165284545454544714e+05,2.102647418181818351e+07,2.332960603596277327e+00,5.613058988078296185e+07,8.704233306225715339e+00,2.877660054554080125e+05,9.150344492635763061e+01,1.746012921297551301e+01,1.669365386961235708e+04,7.662762869398053169e+09,1.498065481284863680e+17,1.536655188381177902e+09,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.508592413820366783e+05,5.187529735958615303e+09,7.430074545947412252e+08,3.943531754600162506e+09,1.493634711642721377e+05,8.754323314809794829e+04,3.446374807987711506e+02,2.192667389536460121e+00,1.781593061353573576e+05,8.127621267055209319e+04,1.651101495436884534e+03,4.580030721966205078e+02,1.984401909115761042e+09,6.690454148438014030e+09
9.326182836363635957e+07,1.297881818181818198e+04,2.971600000000000000e+04,3.774730545454545412e+06,1.508272727272727252e+03,0.000000000000000000e+00,4.152500909090908710e+06,2.613850636363635771e+06,1.116111598181817979e+08,2.020756181818181649e+07,2.197331818181818235e+05,1.301650872727272809e+08,2.981672727272727207e+04,3.685230909090908710e+06,1.696790909090909190e+04,1.071701545454545412e+06,1.508805454545454495e+07,1.148427272727272793e+04,3.538017563636363298e+07,2.227327272727272793e+04,2.004443409090908989e+07,7.581374545454545878e+06,3.082172727272727207e+04,8.997519090909090592e+05,1.541930363636363763e+06,5.906605454545454122e+06,1.740354545454545587e+05,5.278181818181818699e+02,4.506068645454545319e+07,0.000000000000000000e+00,5.359646363636363298e+06,1.483706363636363531e+05,2.591454545454545041e+03,0.000000000000000000e+00,2.855656818181818351e+07,2.212410463636364043e+07,1.372151545454545412e+06,1.926345454545454413e+04,5.949287454545454122e+06,1.193081818181818235e+05,0.000000000000000000e+00,1.506536363636363531e+05,6.713503636363636469e+05,1.511577272727272357e+05,1.210684185454545617e+08,1.327201698181817979e+08,1.254524054545454495e+07,1.809733727272727527e+06,1.229901354545454383e+08,2.324870612281169091e+00,5.569377600460410863e+07,8.282480227494890102e+00,1.055797286950146663e+05,9.166838718563940347e+01,1.731788411979027842e+01,1.662328955060872613e+04,3.057602048076795101e+09,1.485858116510867200e+17,6.584106126889684200e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.202518042895227700e+04,5.276560072065467834e+09,3.114028042299831510e+08,1.350323817603355408e+09,4.136463600275482167e+04,3.878731409579667798e+03,4.351360036434729182e+02,2.176137385586065953e+00,1.050909528718564106e+05,6.786003427352705330e+04,4.816438460854883488e+02,1.137216230338576253e+02,5.149304968868833184e+08,4.409275601659501076e+09
